"a közeli viszontlátásra!","à bientôt!"
"hozzátartozik vkihez","appartenir à q"
"hív","appeler"
"taxit hív","appeler un taxi"
"fészer","appentis m."
"készülék","appereil m."
"tapsol","applaudir"
"szorgalom; alkalmazás","application f."
"tanul","apprendre"
"tanonc","apprenti, -e"
"szakmát tanul","apprendre un métier"
"kívülrõl megtanul vmit","apprendre qc par coeur"
"megbecsül; értékel; megítél","apprécier"
"megszelídít","apprivoiser"
"szelidített","approvoisé, -e"
"megközelítés","approche f."
"támaszték; gyám","appui m."
"holnapután","après-demain"
"délután","après-midi f. m."
"alkalmasság; képesség","aptitude f."
"vízfestmény","aquarelle f."
"pók","araignée f."
"választott bíróság döntése","arbitrage m."
"játékvezetõ","arbitre m."
"fa","arbre m."
"kis cserje","arbuste m."
"íj; körív","arc m."
"szívárvány","arc-en-ciel m."
"ív; árkád","arcade f."
"érsek","archevêque m."
"építész","architect f. m."
"szigetcsoport","archipel m."
"pala(kõ)","ardoise f."
"pénz; ezüst","argent m."
"agyag","argile f."
"tolvajnyelv","argot m."
"következtet; érvel","arguer"
"tartószerkezet; fegyverzet","armature f."
"fegyver","arme f."
"fegyveres; felfegyverzett","armé, -e"
"hadsereg","armée f."
"Örményország","Arménie f."
"szekrény","armoire f."
"páncél","armure f."
"kitép; kicsikar","arracher"
"buszmegálló","arrêt d´autobus m."
"háttér","arrière-plan m."
"érkezés","arrivées"
"arrogáns; pökhendi; dölyfös","arrogant, -e"
"locsolókanna","arrosoir m."
"öntöz","arroser"
"újságcikk; paragrafus; ízület","article m."
"mûvész","artiste f. m."
"kézmûves; mesterember","artisan"
"lift","ascenseur m."
"emelkedés; felszállás; mászás","ascension f."
"mennybemenetel","Ascension f."
"emelkedõ; felmenõ","ascendant, -e"
"porszívó","aspirateur m."
"megokosít; megszelídít","assagir"
"gyilkos","assassin, -e"
"összetesz; összeilleszt","assembler"
"tányér","assiette f."
"segít; támogat; jelen van","assister"
"biztosít","assurer"
"biztonság; biztosíték; biztosítás","assurance f."
"fortély; ravaszság","astuce m."
"mûhely","atelier m."
"atlétika","athlétisme m."
"Atlanti-óceán","Atlantique m."
"atom","atome m."
"Csatolják be öveiket!","Attachez vois ceintures!"
"köt; hozzákapcsol; tulajdonít","attacher"
"támadás; roham","attaque f."
"eltalál; elér","atteindre"
"Vigyázz, a kutya harap!","Attention, chien mechant!"
"vár","attendre"
"enyhít; higít; csökkent","atténuer"
"figyelem","attention f."
"merénylet","attentat m."
"földet ér; partot ér","atterrir"
"vonz","attirer"
"vonzó","attirant, -e"
"testtartás; magatartás","attitude f."
"halat fog","attraper un poisson"
"elkap; kelepcében elfog; tetten ér; becsap","attraper"
"megbetegszik","attraper une maladie"
"tengerparton","au bord de la mer"
"éles","au point"
"Viszontlátásra!","Au revoir!"
"túlvilág","au-delà m."
"hajnali szerenád","aubade f."
"hajnal","aube f."
"galagonya","aubépine f."
"fogadó","auberge f."
"valamilyen; bármilyen","aucun, -e"
"merész; vakmerõ","audacieux, -euse"
"hallgatò(nö)","auditeur, -trice"
"növel; szaporít","augmenter"
"jósol","augurer"
"ma","aujourd´hui"
"közelben; mellette","auprès de"
"hajnal","aurore f."
"is; annyira","aussi"
"rögtön; azonnal","aussitôt"
"szigorú; kemény","austère"
"Ausztrália","Australie f."
"alkotó; szerzõ; író","auteur m."
"autóbusz","autobus m."
"önéletrajz","autobiographe f."
"távolsági busz","autocar m."
"kukta","autocuiseur m."
"elégetés","autodafé m."
"õsz","automne m."
"autópálya","autoroute f."
"felhatalmaz","autoriser"
"önkényeskedõ; ellentmondást nem tûrõ","autoritaire"
"körül","autour"
"egykor","autrefois"
"más(ik)","autre"
"strucc","autruche f"
"más(ok)","autrui"
"halad; elõbre jut","avancer"
"tegnapelõtt","avant-hier"
"mielõtt","avant que"
"fösvénység; fukarság","avarice f."
"átalakulás; változás","avatar m."
"-val; -vel","avec"
"jövõ","avenir m."
"idegenkedés; undorodás","aversion f."
"vak","aveugle"
"repülõgép","avion m."
"vélemény; nézet; tanács","avis m."
"ügyvéd","avocat m."
"birtokol; van neki","avoir"
"èhes","avoir faim"
"szomjas","avoir soif"
"lapos a kereke","avoir un pneu crevé"
"tengeribeteg","avoir le mal de mer"
"fáj vmije","avoir mal à qc"
"torkig van vmivel; elege van","avoir marre de qc"
"rosszul teszi, hogy","avoir tort de"
"gyors/lassú felfogású","avoir un esprit vif/lent"
"álmos","avoir sommeil"
"dolga van","avoir qc à faire"
"melege van","avoir chaud"
"fázik","avoir froid"
"jó színben van","avoir bonne mine"
"bevall; elismer","avouer"
"április","avril m."
"Azerbajdzsán","Azerbaïdjan m."
"komp","bac m."
"érettségi vizsga","baccalauréat m."
"magol","bachoter"
"kézipoggyász","bagage à main m."
"összetûzés; csetepaté; csõdület","bagarre f."
"fegyenc; rab","bagnard m."
"gyûrû","bague f."
"bagett","baguette f."
"fürdõkád","baignoire f."
"bérlet; kibérlés","bail m."
"ásít","bâiller"
"fürdõ","bain m."
"megcsókol","baiser"
"kézcsók","baisemain m."
"lejjebb tesz; meghajt","baisser"
"baksis; borravaló","bakchich m."
"séta","balade f."
"seprû","balai m."
"mérleg","balance f."
"hinta","balançoir f."
"erkély","balcon m."
"ballada","ballade f."
"balett","ballet m."
"labda","balle f."
"futball-labda; léggömb","ballon m."
"ráz; mozgat; meghány-vet","ballotter"
"banán","banane f."
"pad","banc m."
"kötés","bandage m."
"hajszalag","bandeau m."
"filmelõzetes","bande-annonce f."
"képregény","bande dessinée f."
"elõváros","banlieu f."
"adatbank","banque de données f."
"bank","banque f."
"majomkenyérfa","baobab m."
"keresztelõ","baptême m."
"szakáll","barbe f."
"lubickol; csetlik-botlik; lop","barboter"
"bárd","barde m."
"rúd; nyújtó; korlát","barre f."
"sorompó; kapu","barrière f."
"adatbázis","base de données f."
"udvar","basse-cour f."
"csónakázótó; medence","bassin m."
"csata; ütközet; harc","bataille f."
"halászcsónak","bateau de pêche m."
"épület","bâtiment m."
"síbot","bàton de ski m."
"békaféle","batracien m."
"üt; ver","battre"
"beszélget","bavarder"
"nyál","bave f."
"nyáladzik; rágalmaz","baver"
"rágalmazza","baver sur q"
"szép","beau, belle"
"sok","beaucoup"
"kisbaba","bébé m."
"csõr","bec m."
"fánk","beignet m."
"béget; mekeg","bêler"
"Belgium","Belgique f."
"kos","bélier m."
"nadragulya","belladone f."
"piperkõc; szépfiú","bellâtre m."
"nadragulya","belle-dame f."
"meny; mostohaleány","belle-fille f."
"anyós; mostohaanya","belle-mère f."
"áldás; kegy","bénédiction f."
"haszon; nyereség","bénéfice m."
"elõnyben részesül","bénéficier"
"elringat","bercer"
"pásztor","berger, -ère"
"tragacs","berlingot m."
"becsap; rászed","berner"
"Bern","Berne f."
"munka; dolog","besogne f."
"szükség","besoin m."
"állatias","bestial, -e"
"haszonállat","bétail m."
"állat; barom; féreg; rovar","bête f."
"butaság; ostobaság","bêtise f."
"vaj","beurre m."
"könyvtár","bibliothèque f."
"kerékpár; bicikli","bicyclette f."
"jól; helyesen; nagyon","bien"
"bár; jóllehet","bien que"
"nemsokára; hamarosan","bientôt"
"szerencsés megérkezés","bienvenue f."
"jóindulat","bienveillance f."
"sör","bière f."
"bifsztek","bifteck m."
"ékszer","bijou m."
"ékszerüzlet","bijouterie f."
"ékszerész","bijoutier, -ière"
"mérleg; számla","bilan m."
"jegy; bankjegy; menetjegy","billet m."
"menettérti jegy","billet aller retour m."
"repülõjegy","billet d´avion m."
"életrajz","biographe f."
"biológia","biologie f."
"keksz","biscuit m."
"csók; puszi","bise f."
"bölény","bison m."
"vicc; tréfa; hencegés","blague f."
"rosszal","blâmer"
"fehér","blanc, blanche"
"gabona","blé m."
"seb","blessure f."
"sebesült","blessé m."
"sebesít; sért; megbánt","blesser"
"véraláfutás","bleu m."
"kék","bleu, -e"
"tengerkék","bleu, -e marine"
"szõke; világos","blond, -e"
"cséve; orsó; gombolyag","bobine f."
"akvárium","bocal m."
"marhahús","boeuf m."
"hiba; bug","bogue m."
"iszik","boire"
"erdõ; faanyag","bois m."
"levélszekrény","boîte aux lettres f."
"doboz; munkahely; iroda; iskola","boîte f."
"szemétkosár","boîte à ordures f."
"lokál; mulató","boîte de nuit f."
"tálka","bol m."
"bombáz","bombarder"
"Jó étvágyat!","Bon appétit!"
"Boldog születésnapot!","Bon anniversaire!"
"olcsó","bon marché"
"jò","bon, -ne"
"ugrás; visszapattanás","bond m."
"boldogság","bonheur m."
"hóember","bonhomme de neige m."
"Jó napot!","Bonjour!"
"Boldog új évet!","Bonne année!"
"púp","bosse f."
"púpos","bossu, -e"
"csizma; nyaláb; kéve; hordó; csapás","botte f."
"gumicsizma","bottes de caoutchouc f. pl."
"kalóz","boucanier m"
"száj","bouche f."
"dugó","bouchon m."
"mészárszék","boucherie f."
"csat; (fém)karika","boucle f."
"fülbevaló","boucle d´oreille f."
"duzzog","bouder"
"duzzogás","bouderie f."
"szemetes","boueux m."
"gyertya","bougie f."
"buborék","bouillon m."
"pékség","boulangerie f."
"körút","boulevard m."
"felfordít; felborít; megráz","bouleverser"
"golyó; gömb","boule f."
"munka","boulot m."
"csavar","boulon m."
"csokor","bouquet m."
"könyv","bouquin m."
"könyvekben böngész","bouquiner"
"pocsolya; mocsár","bourbier m."
"polgár","bourgeois m."
"szösz","bourre f."
"lökdösõdés","bouscalade f."
"lökdös; szétver","bousculer"
"vég(zõdés)","bout m."
"bemondás; szellemes mondás","boutade f."
"üveg","bouteille f."
"kiskereskedés; butik","boutique f."
"gomb","bouton m."
"boglárka","bouton d´or m."
"karkötõ","bracelet m."
"vadorzó; orvhalász","braconnier, -ière"
"ág","branche f."
"hordágy","brancard m."
"bekapcsol","brancher"
"kopoltyú","branchie f."
"lóbál; lobogtat; ráz","brandir"
"kar","bras m."
"hadar; hebeg","bredouiller"
"rövid (idõben)","bref, brève"
"Brazília","Brésil m."
"szabadalmaz","breveter"
"barkácsol","bricoler"
"briós","brioche f."
"öngyújtó","briquet m."
"tégla","brique f."
"eltör; zúz; kifáraszt; elront","briser"
"melltû","broche f."
"napbarnított","bronzé, -e"
"kefe; seprû","brosse f."
"fogkefe","brosse à dents f."
"kefél; súrol","brosser"
"talicska","brouette f."
"köd","brouillard m."
"bozótos; cserjés; vminek a sûrûje","broussaille f."
"zaj; zörej; lárma","bruit m."
"éget; felgyújt; eltüzel","brûler"
"égési seb","brûlure f."
"barna","brun, -e"
"hangos","bruyant, -e"
"bokor","buisson m."
"virághagyma","bulbe m."
"iroda; hivatal","bureau m."
"felsõtest; mell(szobor)","buste m."
"cél(pont)","but m."
"jó; jól vagyok","ça va"
"fülke","cabine f."
"mogyoró","cacahuète f."
"elrejt","cacher"
"holtest; hulla","cadavre m."
"ajándék","cadeau m."
"ifjabb","cadet, -ette"
"keret; váz","cadre m."
"svábbogár; álszent; spicli","cafard m."
"kávé","café m."
"kávéskanna","cafetière f."
"ketrec","cage f."
"füzet","cahier m."
"zökkenés; zökkenõ","cahot m."
"pénztár","caisse f."
"pénztárosnõ","caissière f."
"pénztáros","caissier m."
"mészkõ","calcaire m."
"rakodótér","cale f."
"alsónadrág","caleçon m."
"naptár","calendrier m."
"nyugodt","calme"
"videókamera","caméra f."
"teherautó; kamion","camion m."
"kisteherautó","camionnette f."
"vidék","campagne f."
"sátorozik","camper"
"kemping","camping m."
"Kanada","Canada m."
"mederbe terel","canaliser"
"heverõ","canapé m."
"kacsa","canard m."
"jelölt","candidat, -e"
"jelölés","candidature f."
"horgászbot","canne à pêche f."
"kenu","canoë m."
"evezõs csónak","canot à rames m."
"fej; hajóorr; fok","cap m."
"kapitány","capitaine m."
"lényeges; fontos; életbevágó","capital, -e"
"fõváros","capitale f."
"motorháztetõ","capot m."
"szeszélyes","capricieux, -euse"
"sapka","caquette f."
"hiszen","car"
"betû; jel; jellegzetesség","caractère m."
"lakókocsi","caravane f."
"bíboros","cardinal m."
"alapvetõ","cardinal, -e"
"nagyböjt","carème m."
"simogat; cirógat","caresser"
"komp","carferry m."
"rakomány","cargaison f."
"csekkfüzet","carnet de chèques m."
"jegyzõkönyv; notesz; ellenõrzõ","carnet m."
"húsevõ","carnivore m."
"sárgarépa","carotte f."
"négyzet","carré m."
"kövezés; kõpadló","carrelage m."
"útkeresztezõdés","carrefour m."
"szögletes","carré, -e"
"szekér","carriole f."
"iskolatáska","cartable m."
"kártya; menü; térkép","carte f."
"képeslap","carte postale f."
"bankkártya","carte de crédit f."
"bérlet","carte d´abonnement f."
"üdvözlõlap","carte d´anniversaire f."
"alaplap","carte mère f."
"tûzoltólaktanya","caserne de pompiers f."
"kaszárnya","caserne f."
"sisak; fejhallgató","casque m."
"serpenyõ","casserole f."
"kazetta","cassette f."
"eltör","casser"
"ravatal","catafalque m."
"vészhelyzet","catastrophe f."
"székesegyház","cathédrale f."
"okoz; beszélget; cseveg","causer"
"pince","cave f."
"barlang; sziklaüreg","caverne f."
"ez","ce"
"nem mintha","ce n´est pas que"
"ez a; az a","ce, cet, cette, ces"
"ez itt","ceci"
"átenged","céder"
"cédrus","cèdre m."
"deréköv","ceinture f."
"biztonsági öv","ceinture de sécurité f."
"megéri, hogy vmi","cela vaut la peine de qc"
"híres","célèbre"
"ünnepel","célébrer"
"egyedülálló; nõtlen; hajadon","célibataire"
"hamu","cendre f."
"száz","cent"
"centiméter","centimètre m."
"központ; centrum","centre m."
"városközpont","centre-ville m."
"központi","central, -e"
"érdeklõdési kör","centre d´intérêt m."
"harapós házõrzõ; cerberus","cerbère m."
"abroncs; karika","cerceau m."
"kör","cercle m."
"koporsó","cercueil m."
"szarvas","cerf m."
"cseresznye","cerise f."
"körülzár; bekerít; behálóz","cerner"
"bizonyára; természetesen","certes"
"agy","cerveau m."
"tûzszünet","cessez-le-feu m."
"abbahagy; felhagy","cesser"
"cezúra","césure f."
"sakál","chacal m."
"szomorú; mogorva; mélabús","chagrin, -e"
"lármát csap; kifütyül","chahuter"
"csatorna; lánc","chaîne f."
"szék","chaise f."
"kunyhó; faház; menedékház","chalet m."
"szalmaszál; nádszál","chalumeau m."
"szoba","chambre f."
"teve","chameau m."
"mezõ","champ m."
"bajnok","champion, -onne"
"pezsgõ","champagne m."
"gomba","champignon m."
"bajnokság","championnat m."
"szerencse; alkalom","chance f."
"gyertya","chandelle f."
"cserél; változtat; felvált; átszáll","changer"
"pénzt vált","changer de l´argent"
"énekel","chanter"
"hamisan énekel","chanter faux"
"énekes","chanteur m."
"karácsonyi dal","chant de Noël m."
"kalap","chapeau m."
"fejezet; káptalan","chapitre m."
"mindegyik; minden","chaque"
"harci szekér","char m."
"szórejtvény","charade f."
"szén","charbon m."
"hentesbolt","charcuterie f."
"berakodik","charger"
"bevásárlókocsi; kézikocsi","chariot m."
"taliga","charrette f."
"vadászat","chasse f."
"vadászik","chasser"
"keret; ráma","chàssis m."
"macska","chat m."
"homokvár","château de sable m."
"cica","chaton m."
"meleg","chaud, -e"
"melegít; fût; felhevít","chauffer"
"sofõr","chauffeur m."
"parasztház","chaumière f."
"zokni","chaussettes f. pl."
"sícipõ","chaussures de ski f."
"cipõ","chaussure f."
"kopasz","chauve"
"soviniszta","chauvin, -e"
"felborul","chavirer"
"kutató","checheur m."
"karmester","chef d´orchestre m."
"vonatirányító","chef de train m."
"fõnök; elnök","chef m."
"remekmû","chef-d´oeuvre m."
"ing","chemise f."
"út","chemin m."
"vasút","chemin de fer m."
"kandalló; kémény; kürtõ","cheminée f."
"trikó","chemise de corps f."
"blúz","chemisier m."
"hálóing","chemise de nuit f."
"tölgy","chêne m."
"hernyó; hernyótalp","chenille f."
"drága; értékes; kedves","cher, chère"
"keres","chercher"
"drága; kedves; kedvenc","chéri, -e"
"ló","cheval m."
"lovag","chevalier m."
"haj; hajszál","cheveu m."
"ágyfej","chevet m."
"boka","cheville f."
"kecske","chèvre f."
"-nál; -nél","chez"
"kutya","chien m."
"juhászkutya","chien de berger m."
"megszámoz; összegszerûen megállapít","chiffrer"
"rongy","chiffon m."
"kémia","chimie f."
"Kína","Chine f."
"csikk","chique f."
"sebész","chirurgien m."
"csokoládé","chocolat m."
"kórus","choeur m."
"választ","choisir"
"választás","choix m."
"kolera","choléra m."
"munkaszünet; munkanélküliség","chômage m."
"botlik; beleütközik vmibe","chopper"
"dolog; tény","chose f."
"káposzta","chou m."
"kelbimbó","chou de Bruxelles m."
"karfiol","chou-fleur m."
"kedvenc","chouchou, -te"
"töltött káposzta","choux farcis m. pl."
"krizantém","chrysanthème m."
"suttog","chuchoter"
"csitt!; pszt!; csend!","chut!"
"esés; lejtés","chute f."
"esik; zuhan","chuter"
"itt","ci"
"ég","ciel m."
"cement","ciment m."
"temetõ","cimetière m."
"rendezõ","cinéaste f. m."
"mozi","cinéma m."
"öt","cinq"
"ötven","cinquante"
"körülmény","circonstance f."
"megkörnyékez","circonvenir"
"forgalom; körforgás","circulation f."
"viasz","cire f."
"viasszal bevon; fényez","cirer"
"padlófényezõ gép","cireuse f."
"cirkusz","cirque m."
"olló","ciseaux m."
"idéz","citer"
"polgár","citoyen, -enne"
"citrom","citron m."
"polgári","civil, -e"
"civilizáció","civilisation f."
"világos","clair, -e"
"osztályoz","classer"
"billentyûzet","clavier m."
"kulcs","clef, clé f."
"kegyelem; szelídség","clémence f."
"ügyfél; vendég","client, -e"
"irányjelzõ","clignotant m."
"éghajlat","climat m."
"kattint","cliquer"
"csengõ; harang","cloche f."
"csavargó","clochard m."
"torony; harangtorony","clocher m."
"sántít; sántikál","clocher"
"válaszfal","cloison f."
"sövény; lezárás","clôture f."
"golfütõ","club de golf m."
"tengerimalac","cochon d´Inde m."
"sertés","cochon m."
"jelszó","code d´accès m."
"irányítószám","code postal m."
"szív","coeur m."
"csomagtartó","coffre m."
"borbély; fodrász","coiffeur, -euse"
"fodrászat","coiffeur m."
"sarok","coin m."
"gallér; nyak","col m."
"harag; düh","colère f."
"csomag","colis m."
"enyv; nehéz vizsgakérdés","colle f."
"ragaszt","coller"
"gyûjtemény","collection f."
"kollégium; középiskola","collège m."
"nyaklánc","collier m."
"baleset; összeütközés","collision f."
"domb","colline f."
"beszélgetés; társalgás","colloque m."
"oszlop","colonne f."
"harc; ütközet; csata; mérkõzés","combat m."
"mennyi","combien"
"csordultig tölt; elhalmoz","combler"
"égés","combustion f."
"vígjáték","comédie f."
"parancsol; rendel","commander"
"hogyan","comment"
"kezd; elkezd","commencer"
"mint","comme"
"elkövet; rábíz; kockáztat","commettre"
"kommentár","commentaire m."
"hogy van?","comment allez-vous?"
"kezdet; kezdés","commencement m."
"rendõrõrs","commissariat de police m."
"közös","commun, -e"
"kompatibilis","compatible"
"hozzáértõ","compétent, -e"
"bonyolult; összetett","complexe"
"teljes; megtelt","complet, complète"
"öltöny","complet m."
"tárcsázza a számot","composer le numéro"
"viselkedés; magatartás","comportement m."
"tabletta","comprimé m."
"beleértve","compris"
"kiegyezés; kompromisszum","compromis m."
"megértés; felfogás","compréhension f."
"nyomás; tömörítés","compression f."
"pult","comptoir m."
"könyvelõ","comptable m."
"számol; leszámlál","compter"
"számít vkire","compter sur q"
"folyószámla","compte courant m."
"számlálás; elszámolás; számla","compte m."
"gróf","comte m."
"összpontosít","concentrer"
"fogan; felfog; elképzel","concevoir"
"fogamzás; felfogás; elgondolás","conception f."
"házfelügyelõ(nõ)","concierge f. m."
"tömör","concis, -e"
"elhatároz; eldönt; következtet","conclure"
"meggyõzõ; bizonyító","concluant, -e"
"szövetséget köt","conclure une alliance"
"egyetért","concorder"
"sokadalom; tömörülés; verseny","concours m."
"elítél","condamner"
"sûrít; kondenzál","condenser"
"állapot; helyzet; feltétel","condition f."
"részvétnyilvánítás","condoléance f."
"vezet","conduire"
"vezetõ; kormányos","conducteur, -trice"
"magatartás","conduite f."
"kúp","cône m."
"gyón; bevall","confesser"
"tárgyalás; értekezlet","conference f."
"egybevet; összehasonlít","conférer"
"lekvár","confiture f."
"rábíz; közöl","confier"
"konfiguráció","configuration f."
"bizalmas","confidentiel, -elle"
"bizakodás; bizalom","confiance f."
"megerõsítés","confirmation f."
"összeütközés; konfliktus","conflit m."
"összekever","confondre"
"egyezõ; megfelelõ","conforme"
"segítség; támogatás; kényelem","confort m."
"szaktárs; kolléga","confrère m."
"összezavarás; zavartság","confusion f."
"fagyasztott; mirelit","congelé, -e"
"szabadság","congé f."
"fagyasztószekrény","congélateur m."
"szülési szabadság","congé de maternité f."
"házastárs","conjoint, -e"
"tud","connaitre"
"összeköt","connecter"
"viszony; kapcsolat; összekötés","connexion f."
"meghódít","conquérir"
"hódítás","conquête f."
"figyelmet szentel vminek","consacrer l´attention à qc"
"tudat; lelkiismeret","conscience f."
"konzerv","conserve f."
"tanács","conseil m."
"ajánl; tanácsol","conseiller"
"következmény; következtetés","conséquence f."
"zenemûvészeti fõiskola","conservatoire de musique m."
"parancs; csomagmegõrzõ","consigne f."
"megfontolás; tekintetbevétel","considération f."
"fogyasztó","consommateur m."
"vigasztal","consoler"
"házastárs","consort"
"épít; szerkeszt","construire"
"alkot; képez","constituer"
"összetétel; alkotmány","constitution f."
"építés","construction f."
"állandó","constant, -e"
"konzultál; tanácsot kér; tanácsot ad","consulter"
"elemészt; elsorvaszt","consumer"
"érintkezésbe lép","contacter"
"megfertõz; bemocskol","contaminer"
"megfertõzés; beszennyezés","contamination f."
"elégedett","content, -e"
"magában foglal","contenir"
"tartalom","contenu m."
"mese; rege","conte m."
"mesél","conter"
"földrész","continent m."
"továbbtanul","continuer ses études"
"folyamatos","continuel, -elle"
"elferdít; eltorzít; megkerül","contourner"
"jegyellenõr","contrôleur m."
"háttal vminek","contre"
"ellenõriz","contrôler"
"ellentétesség","contrariété f."
"ellentmondás","contradiction f."
"hozzájárulás; adó","contribution f."
"igazoltatás","contrôle d´identité m."
"vitat","controverser"
"összehúz; szerzõdik; szerez","contracter"
"ellentmond","contredire"
"kényszerít vkit vmire","contraindre q à inf."
"meggyõz","convaincre"
"lábadozás","convalescence f."
"megegyezés","convention f."
"megegyezik; illik","convenir"
"meggyõzés; meggyõzõdés; hit","conviction f."
"összehív; beidéz","convoquer"
"kísérõhajó","convoyeur m."
"konvoj","convoi m."
"együttmûködõ","coopératif, -ive"
"másol; leutánoz","copier"
